Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
67,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941153LZ,"Rehabilitation of Flood Mitigation Structure, Barangay Telbang, Alaminos City, Pangasinan",Rehabilitation / Major Repair of Flood Control Structure,2025,25AG0078,4950000,4850385.71,2025-05-14,GED CONSTRUCTION,2025-02-21,16.09684657,119.96915518,4850385.71,82
689,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00921211LZ,"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",Construction of Flood Mitigation Structure,2025,25EG0013,14700000,14669999.48,2025-05-19,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,2025-02-05,9.55414,118.61825,14669999.48,103
916,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941152LZ,"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2025,25AG0077,4950000,4850666.92,2025-05-21,GED CONSTRUCTION,2025-02-10,16.356031,120.433852,4850666.92,100
1220,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00921064LZ,"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",Construction of Slope Protection Structure,2025,25CJ0124,14700000,14229719.67,2025-05-22,BIG BERTHA CONSTRUCTION & DEVELOPMENT,2025-01-27,15.42745556,120.6139639,14229719.67,115
1409,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921065LZ,"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0129,14700000,14700000,2025-04-16,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,2025-01-27,15.716535,120.570923,14700000.0,79
1455,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00920485LZ,"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0038,72375000,70167867.76,2025-04-18,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,2025-02-11,15.68280833,120.6284056,70167867.76,66
1491,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00941410LZ,"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0127,24125000,24125000,2025-03-19,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,2025-02-17,15.47860833,120.6347417,24125000.0,30
1644,Region IV-A,BATANGAS (FIRST LEGISLATIVE DISTRICT),TUY (BATANGAS),Batangas 1st District Engineering Office,P00941618LZ,"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",Construction of Flood Mitigation Structure,2025,25DB0048,4900000,4753000,2025-05-19,830 BUILDERS & DEVELOPERS CORP.,2025-03-03,13.996941,120.706502,4753000.0,77
1731,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921066LZ,"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0132,14700000,14700000,2025-05-19,T2B3 BUILDERS AND SUPPLIES CORP.,2025-01-27,15.748532,120.59788,14700000.0,112
1908,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00921072LZ,"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0031,49000000,47496290.56,2025-04-16,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),2025-01-27,15.68414167,120.6398,47496290.56,79
