Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude
67,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941153LZ,"Rehabilitation of Flood Mitigation Structure, Barangay Telbang, Alaminos City, Pangasinan",Rehabilitation / Major Repair of Flood Control Structure,2025,25AG0078,4950000,4850385.71,2025-05-14,GED CONSTRUCTION,02/21/2025,16.09684657,119.96915518
689,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00921211LZ,"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",Construction of Flood Mitigation Structure,2025,25EG0013,14700000,14669999.48,2025-05-19,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,02/05/2025,9.55414000,118.61825000
916,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941152LZ,"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2025,25AG0077,4950000,4850666.92,2025-05-21,GED CONSTRUCTION,02/10/2025,16.35603100,120.43385200
1220,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00921064LZ,"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",Construction of Slope Protection Structure,2025,25CJ0124,14700000,14229719.67,2025-05-22,BIG BERTHA CONSTRUCTION & DEVELOPMENT,01/27/2025,15.42745556,120.61396390
1409,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921065LZ,"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0129,14700000,14700000,2025-04-16,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,01/27/2025,15.71653500,120.57092300
1455,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00920485LZ,"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0038,72375000,70167867.76,2025-04-18,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,02/11/2025,15.68280833,120.62840560
1491,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00941410LZ,"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0127,24125000,24125000,2025-03-19,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,02/17/2025,15.47860833,120.63474170
1644,Region IV-A,BATANGAS (FIRST LEGISLATIVE DISTRICT),TUY (BATANGAS),Batangas 1st District Engineering Office,P00941618LZ,"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",Construction of Flood Mitigation Structure,2025,25DB0048,4900000,4753000,2025-05-19,830 BUILDERS & DEVELOPERS CORP.,03/03/2025,13.99694100,120.70650200
1731,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921066LZ,"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0132,14700000,14700000,2025-05-19,T2B3 BUILDERS AND SUPPLIES CORP.,01/27/2025,15.74853200,120.59788000
1908,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00921072LZ,"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0031,49000000,47496290.56,2025-04-16,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),01/27/2025,15.68414167,120.63980000
2034,Region III,NUEVA ECIJA (SECOND LEGISLATIVE DISTRICT),SCIENCE CITY OF MUÑOZ (NUEVA ECIJA),Nueva Ecija 1st District Engineering Office,P00921035LZ,"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CE0056,9800000,9701851.92,2025-04-07,IJK MAE CONSTRUCTION INC.,02/11/2025,15.67699600,120.85328100
2085,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921788LZ,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0004,34299998.36,34128123.18,2025-03-25,TRIPLE S BUILDERS INC.,02/11/2025,15.30396100,120.86867500
2360,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),JAEN (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921446LZ,"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",Rehabilitation / Major Repair of Flood Control Structure,2025,25CF0039,96499998.78,96013671.84,2025-04-24,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,02/20/2025,15.38200000,120.92100000
2655,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921786LZ,"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0006,48999997.85,48754753.43,2025-04-25,"R.A. PAHATI CONST. & SUPPLY, INC.",02/11/2025,15.31152200,120.89405100
2701,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921485LZ,"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0028,96499900.04,96017500.53,2025-04-24,F-DEY CONSTRUCTION AND TRADING,02/20/2025,15.30959400,120.92507300
2933,Region III,NUEVA ECIJA (THIRD LEGISLATIVE DISTRICT),CABANATUAN CITY (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921492LZ,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0012,96499925.01,95052371.1,2025-05-23,CELSO C. FERRER  CONSTRUCTION CORP.,02/20/2025,15.50014400,120.94920600
3060,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920012LZ,"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",Construction of Flood Mitigation Facility,2025,25OE0030,96499337.35,94675499.87,2025-05-22,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,02/12/2025,14.59705300,120.99062300
3104,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00941129LZ,"Rehabilitation of Drainage Structure, Phase 5, Zone 41-57, Manila City",Rehabilitation / Major Repair of Drainage Structure,2025,25OE0103,4949922.56,4798989.63,2025-04-21,LE BRON CONSTRUCTION,02/17/2025,14.60891400,120.99423400
3218,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00922881LZ,"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",Construction of Flood Mitigation Facility,2025,25OE0081,38599649.79,37962740.47,2025-04-20,A.M. SALONG CONSTRUCTION,03/12/2025,14.59938700,120.97933900
3264,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920054LZ,"Upgrading of Recto Pumping Station, Manila City",Construction of Flood Mitigation Facility,2025,25OE0041,48249769.2,47322508.07,2025-04-02,JJPR CONSTRUCTION SERVICES,02/12/2025,14.60336600,120.98503800
3287,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920053LZ,"Upgrading of Lerma Pumping Station, Manila City",Construction of Flood Mitigation Facility,2025,25OE0042,48249977.78,47318052.55,2025-04-02,JJPR CONSTRUCTION SERVICES,02/12/2025,14.60506100,120.98691000
3479,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920010LZ,"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",Construction of Flood Mitigation Facility,2025,25OE0029,96499677.39,94714433.36,2025-05-21,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,02/11/2025,14.60288000,120.97274000
3713,National Capital Region,MANILA CITY (SECOND LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920747LZ,"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",Construction of Flood Mitigation Structure,2025,25OE0101,14699517.08,14552258.16,2025-04-21,XIEH CONSTRUCTION,02/11/2025,14.62640000,120.96638000
3923,National Capital Region,MANILA CITY (SECOND LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920745LZ,"Installation of Pump Accessories along Estero de Magdalena, Tondo, Manila City",Construction of Flood Mitigation Facility,2025,25OE0027,48999896.41,48015187.82,2025-03-12,GOLDEN J'S CONSTRUCTION SERVICES,02/14/2025,14.60821900,120.97724000
3999,National Capital Region,MANILA CITY (SIXTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),South Manila District Engineering Office,P00920131LZ,"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",Construction of Flood Mitigation Facility,2025,25OH0006,138959615,137222334.81,2025-05-06,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,03/03/2025,14.57970900,121.00429900
